id,first,follow_1,follow_2,follow_3,follow_4,follow_5,follow_6,follow_7
sub023,"(0.08333333333333333, 40.94, 0.0, 0.0)","(1.1736111111111112, 40.94, 1.991, 4.863214460185637)","(9.209722222222222, 40.94, -5.033, -12.29360039081583)","(15.156944444444443, 40.94, -22.387, -54.68246213971666)","(21.12361111111111, 40.94, -30.135, -73.60771861260382)","(27.343055555555555, 40.94, -37.102, -90.62530532486565)","(58.223611111111104, 40.94, -40.94, -100.0)",
sub024,"(0.20833333333333334, 21.698, 0.0, 0.0)","(1.2236111111111112, 21.698, -5.02, -23.1357728822933)","(12.384722222222223, 21.698, -17.814, -82.09973269425753)","(19.179861111111112, 21.698, -21.684, -99.93547792423266)",,,,
sub025,"(0.2916666666666667, 35.626, 0.0, 0.0)","(1.007638888888889, 35.626, 3.418, 9.594116656374558)","(2.8111111111111113, 35.626, 6.079, 17.063380677033628)",,,,,
sub026,"(0.041666666666666664, 33.087, 0.0, 0.0)","(0.9402777777777778, 33.087, 1.62, 4.896182790824191)","(3.1680555555555556, 33.087, 2.213, 6.68842747907033)","(19.134027777777778, 33.087, -22.607, -68.32592861244598)",,,,
sub027,"(0.125, 31.039, 0.0, 0.0)","(1.2673611111111112, 31.039, 5.847, 18.837591417249268)","(7.403472222222223, 31.039, 2.895, 9.326975740197815)","(10.418055555555556, 31.039, -1.429, -4.60388543445343)",,,,
sub028,"(0.08333333333333333, 43.492, 0.0, 0.0)","(0.7236111111111111, 43.492, 2.406, 5.532051871608572)","(5.954861111111111, 43.492, -11.469, -26.370366964039366)","(16.961111111111112, 43.492, -31.745, -72.99043502253288)","(56.049305555555556, 43.492, -43.492, -100.0)",,,
sub029,"(0.3333333333333333, 50.488, 0.0, 0.0)","(1.4986111111111111, 50.488, -2.747, -5.4408968467754715)","(14.551388888888889, 50.488, -34.364, -68.06369830454761)","(44.515277777777776, 50.488, -50.488, -100.0)",,,,
sub030,"(0.3333333333333333, 42.445, 0.0, 0.0)","(1.3763888888888889, 42.445, -0.764, -1.7999764400989517)","(5.414583333333333, 42.445, -3.806, -8.966898339026976)","(12.415277777777776, 42.445, -12.928, -30.458240075391686)","(19.38611111111111, 42.445, -26.425, -62.257038520438215)",,,
sub031,"(0.020833333333333332, 58.67, 0.0, 0.0)","(0.17361111111111108, 58.67, -6.907, -11.772626555309357)","(0.4986111111111111, 58.67, -4.697, -8.005795125276972)",,,,,
sub032,"(0.0625, 7.976, 0.0, 0.0)","(1.4291666666666665, 7.976, 0.302, 3.786359077231695)","(7.161111111111111, 7.976, -4.291, -53.79889669007021)",,,,,
sub033,"(0.25, 5.405, 0.0, 0.0)","(1.2833333333333334, 5.405, 9.828, 181.83163737280296)","(2.8409722222222222, 5.405, 8.61, 159.29694727104533)","(5.108333333333333, 5.405, 9.452, 174.87511563367252)","(18.855555555555558, 5.405, -5.405, -100.0)","(35.231249999999996, 5.405, -5.405, -100.0)",,
sub034,"(0.020833333333333332, 38.449, 0.0, 0.0)","(0.22777777777777777, 38.449, -0.039, -0.10143306717990065)","(3.9819444444444443, 38.449, 33.819, 87.9580743322323)","(14.997916666666667, 38.449, -2.031, -5.2823220369840564)",,,,
sub035,"(0.125, 46.559, 0.0, 0.0)","(0.8694444444444445, 46.559, 2.173, 4.667196460405077)","(4.615972222222222, 46.559, -9.909, -21.282673596941514)","(10.609027777777778, 46.559, -27.359, -58.76200090208123)","(16.62013888888889, 46.559, -37.8, -81.18731072402757)","(24.644444444444446, 46.559, -46.331, -99.51029876071222)",,
sub036,"(0.125, 27.6, 0.0, 0.0)","(1.6458333333333333, 27.6, 35.744, 129.5072463768116)","(3.6576388888888887, 27.6, 181.046, 655.963768115942)","(9.566666666666666, 27.6, 26.805, 97.1195652173913)","(15.6625, 27.6, -15.883, -57.54710144927536)",,,
sub037,"(0.08333333333333333, 40.53, 0.0, 0.0)","(0.6486111111111111, 40.53, 3.068, 7.569701455711818)","(6.486805555555556, 40.53, -1.045, -2.5783370342955836)","(22.492361111111112, 40.53, -32.075, -79.13890944979028)","(43.64930555555555, 40.53, -40.53, -100.0)",,,
sub038,"(0.041666666666666664, 16.117, 0.0, 0.0)","(0.6590277777777778, 16.117, 6.471, 40.15015201340199)","(5.649305555555556, 16.117, 7.508, 46.584351926537195)","(12.645833333333334, 16.117, -2.422, -15.027610597505738)","(21.68472222222222, 16.117, -11.321, -70.24260098033133)",,,
sub039,"(0.08333333333333333, 33.279, 0.0, 0.0)","(1.2159722222222222, 33.279, 10.767, 32.35373659064275)","(1.7708333333333333, 33.279, 8.627, 25.923254905495956)","(5.677777777777778, 33.279, 6.179, 18.567264641365426)","(11.875694444444443, 33.279, -20.116, -60.446527840379815)","(19.71388888888889, 33.279, -27.282, -81.97962679167043)","(40.62916666666667, 33.279, -33.279, -100.0)",
sub040,"(0.041666666666666664, 25.248, 0.0, 0.0)","(0.48680555555555555, 25.248, 4.513, 17.874683143219265)","(2.504861111111111, 25.248, 2.401, 9.50966413181242)","(8.504166666666666, 25.248, -13.851, -54.85979087452472)","(14.484027777777778, 25.248, -21.411, -84.80275665399239)","(27.503472222222225, 25.248, -25.248, -100.0)",,
sub041,"(0.041666666666666664, 23.783, 0.0, 0.0)","(0.24722222222222223, 23.783, -0.746, -3.1366942774250512)","(4.990277777777778, 23.783, -0.837, -3.519320523062692)","(23.829166666666666, 23.783, -23.783, -100.0)",,,,
sub042,"(0.08333333333333333, 20.899, 0.0, 0.0)","(1.0805555555555555, 20.899, -2.445, -11.699124360017226)","(13.105555555555556, 20.899, -14.995, -71.74984449016699)","(32.105555555555554, 20.899, -20.899, -100.0)",,,,
sub043,"(0.375, 52.09, 0.0, 0.0)","(1.395138888888889, 52.09, 3.303, 6.340948358610097)","(2.420138888888889, 52.09, -10.744, -20.62583989249376)","(7.441666666666666, 52.09, -37.026, -71.08082165482818)",,,,
sub044,"(0.25, 44.231, 0.0, 0.0)","(1.3, 44.231, -2.482, -5.611448983744433)","(2.3006944444444444, 44.231, -4.173, -9.434559471863626)","(8.368055555555555, 44.231, -8.131, -18.38303452329814)","(22.335416666666664, 44.231, -33.689, -76.1660373945875)","(155.38819444444445, 44.231, -44.231, -100.0)",,
sub045,"(0.08333333333333333, 13.981, 0.0, 0.0)","(0.6326388888888889, 13.981, -0.082, -0.5865102639296188)","(11.588888888888889, 13.981, -7.827, -55.98311994850154)","(16.568055555555556, 13.981, -11.658, -83.38459337672556)",,,,
sub046,"(0.041666666666666664, 74.163, 0.0, 0.0)","(6.1506944444444445, 74.163, -13.069, -17.621994795248305)","(20.205555555555556, 74.163, -38.438, -51.829079190431884)",,,,,
sub047,"(0.08333333333333333, 19.34, 0.0, 0.0)","(0.8673611111111111, 19.34, 1.51, 7.807652533609101)","(4.045833333333333, 19.34, -0.154, -0.796277145811789)","(39.83402777777778, 19.34, -18.961, -98.04033092037228)",,,,
sub048,"(0.041666666666666664, 37.213, 0.0, 0.0)","(0.5361111111111111, 37.213, 12.373, 33.24913336737162)","(2.665277777777778, 37.213, 9.785, 26.29457447666138)","(9.654861111111112, 37.213, -14.299, -38.42474404106092)",,,,
sub049,"(0.4166666666666667, 13.586, 0.0, 0.0)","(1.1083333333333334, 13.586, -2.477, -18.232003533048726)","(5.226388888888889, 13.586, -4.803, -35.352568820844986)","(11.122916666666667, 13.586, -13.586, -100.0)",,,,
sub050,"(0.3958333333333333, 9.145, 0.0, 0.0)","(2.0458333333333334, 9.145, -0.828, -9.054127938764351)","(12.138194444444444, 9.145, -9.145, -100.0)",,,,,
sub051,"(0.20833333333333334, 52.431, 0.0, 0.0)","(1.8131944444444443, 52.431, -2.476, -4.7223970551772805)","(15.817361111111111, 52.431, -32.441, -61.873700673265816)","(22.803472222222222, 52.431, -44.313, -84.51679350002861)","(51.95972222222222, 52.431, -52.431, -100.0)",,,
sub052,"(0.16666666666666666, 17.975, 0.0, 0.0)","(2.0375, 17.975, 36.49, 203.00417246175243)","(12.046527777777778, 17.975, 14.418, 80.21140472878999)","(25.180555555555557, 17.975, -7.756, -43.14881780250347)","(73.95694444444445, 17.975, -17.975, -100.0)","(188.97152777777777, 17.975, -17.975, -100.0)",,
sub053,"(0.08333333333333333, 22.144, 0.0, 0.0)","(1.2416666666666667, 22.144, -0.751, -3.391437861271676)","(11.059027777777779, 22.144, -13.771, -62.18840317919076)","(32.28958333333333, 22.144, -22.144, -100.0)",,,,
sub054,"(0.041666666666666664, 41.82, 0.0, 0.0)","(0.6756944444444445, 41.82, 12.167, 29.09373505499761)","(7.856944444444444, 41.82, -15.137, -36.19560019129603)","(16.69861111111111, 41.82, -29.906, -71.51123864179819)",,,,
sub055,"(0.041666666666666664, 43.195, 0.0, 0.0)","(1.6638888888888888, 43.195, 5.166, 11.959717559902765)","(5.822916666666667, 43.195, 1.584, 3.6670910985067717)",,,,,
sub056,"(0.0625, 35.656, 0.0, 0.0)","(0.3763888888888889, 35.656, -3.951, -11.080884002692395)","(1.0638888888888889, 35.656, -7.346, -20.602423154588287)","(2.1868055555555554, 35.656, -14.638, -41.05339914740857)","(4.115277777777778, 35.656, -20.596, -57.76306932914517)","(6.084027777777778, 35.656, -25.75, -72.21785954678035)","(10.115972222222222, 35.656, -35.656, -100.0)","(12.081944444444444, 35.656, -35.511, -99.59333632488222)"
sub057,"(0.010416666666666666, 26.198, 0.0, 0.0)","(0.6090277777777778, 26.198, 15.117, 57.70287808229636)","(12.80486111111111, 26.198, -26.198, -100.0)",,,,,
sub058,"(0.4166666666666667, 67.858, 0.0, 0.0)","(0.9027777777777777, 67.858, 0.721, 1.0625128945739633)","(2.5326388888888887, 67.858, -10.181, -15.003389430870348)",,,,,
sub059,"(0.041666666666666664, 26.891, 0.0, 0.0)","(1.9215277777777777, 26.891, -5.667, -21.073965267189763)","(9.921527777777778, 26.891, -10.482, -38.97958424751776)",,,,,
sub060,"(0.020833333333333332, 38.762, 0.0, 0.0)","(0.9888888888888889, 38.762, 27.462, 70.8477374748465)","(2.0430555555555556, 38.762, 25.453, 65.66482637634797)","(4.0125, 38.762, 25.696, 66.29172901295082)","(4.954166666666667, 38.762, 24.133, 62.25942933801145)","(5.309722222222223, 38.762, 24.73, 63.79959754398637)","(10.004861111111111, 38.762, 15.73, 40.58098137351014)","(12.267361111111112, 38.762, 5.909, 15.244311439038233)"
sub061,"(0.020833333333333332, 42.206, 0.0, 0.0)","(0.2722222222222222, 42.206, 8.949, 21.203146472065583)","(1.082638888888889, 42.206, 13.295, 31.500260626451215)","(2.994444444444444, 42.206, 11.524, 27.304174761882198)","(7.9944444444444445, 42.206, 12.674, 30.02890584277117)","(15.983333333333334, 42.206, -9.323, -22.08927640619817)",,
sub062,"(0.125, 20.55, 0.0, 0.0)","(0.7618055555555555, 20.55, -6.123, -29.795620437956206)","(7.53125, 20.55, -11.475, -55.839416058394164)",,,,,
sub063,"(0.4166666666666667, 10.231, 0.0, 0.0)","(1.1569444444444443, 10.231, 0.776, 7.58479132049653)","(2.370138888888889, 10.231, 25.499, 249.23272407389305)","(6.178472222222222, 10.231, 14.273, 139.5073795327925)","(11.316666666666668, 10.231, 11.316, 110.60502394682827)","(18.086805555555554, 10.231, -2.9, -28.345225295670023)","(40.34791666666667, 10.231, -10.188, -99.57970872837456)","(40.75069444444444, 10.231, -9.651, -94.330954940866)"
sub064,"(0.041666666666666664, 27.984, 0.0, 0.0)","(0.3354166666666667, 27.984, -4.816, -17.209834190966266)","(2.2868055555555555, 27.984, -19.045, -68.05674671240709)","(13.000694444444443, 27.984, -25.564, -91.35220125786164)","(25.99791666666667, 27.984, -27.984, -100.0)","(40.02708333333333, 27.984, -27.984, -100.0)",,
sub065,"(0.08333333333333333, 80.714, 0.0, 0.0)","(0.7381944444444445, 80.714, 0.575, 0.7123919022722205)","(4.954166666666667, 80.714, -4.579, -5.673117426964343)","(22.001388888888886, 80.714, -51.303, -63.56146393438561)",,,,
sub066,"(0.3333333333333333, 59.392, 0.0, 0.0)","(0.5173611111111112, 59.392, -2.448, -4.1217672413793105)","(2.078472222222222, 59.392, -7.408, -12.473060344827585)","(5.129166666666666, 59.392, -17.707, -29.81377963362069)","(10.297916666666667, 59.392, -42.566, -71.66958512931035)",,,
sub067,"(0.16666666666666666, 27.422, 0.0, 0.0)","(1.179861111111111, 27.422, -0.423, -1.5425570709649186)","(5.313888888888889, 27.422, -0.391, -1.4258624462110714)",,,,,
sub068,"(0.08333333333333333, 31.318, 0.0, 0.0)","(1.2513888888888889, 31.318, -1.884, -6.015709815441599)","(6.190277777777777, 31.318, -5.245, -16.747557315281945)","(18.2, 31.318, -27.124, -86.60834025161249)","(22.011805555555554, 31.318, -31.181, -99.56255188709369)","(76.1138888888889, 31.318, -31.275, -99.86269876748196)","(110.08333333333333, 31.318, -31.213, -99.66472954850246)","(200.0513888888889, 31.318, -31.318, -100.0)"
sub069,"(0.08333333333333333, 107.467, 0.0, 0.0)","(1.8868055555555554, 107.467, -35.371, -32.91335944987764)","(8.17361111111111, 107.467, -69.991, -65.12789972735817)","(14.145833333333334, 107.467, -84.853, -78.95726129881731)","(21.87222222222222, 107.467, -95.602, -88.95940149069017)",,,
sub070,"(0.125, 8.43, 0.0, 0.0)","(0.40208333333333335, 8.43, 3.888, 46.120996441281136)","(12.414583333333333, 8.43, 0.447, 5.302491103202847)",,,,,
sub071,"(0.08333333333333333, 37.339, 0.0, 0.0)","(0.6777777777777777, 37.339, 3.754, 10.053831114920058)","(1.872222222222222, 37.339, 5.55, 14.86381531374702)","(8.674305555555556, 37.339, -3.079, -8.246069792977853)","(10.708333333333334, 37.339, -14.516, -38.876241998982294)","(38.6875, 37.339, -37.339, -100.0)",,
sub072,"(0.08333333333333333, 12.829, 0.0, 0.0)","(0.81875, 12.829, 0.775, 6.04100085743238)","(7.760416666666667, 12.829, 1.305, 10.172265959934524)",,,,,
sub073,"(0.08333333333333333, 18.092, 0.0, 0.0)","(1.1166666666666667, 18.092, -2.989, -16.521114304665048)","(6.09375, 18.092, -9.404, -51.97877514923724)",,,,,
sub074,"(0.0625, 36.954, 0.0, 0.0)","(0.47291666666666665, 36.954, -0.603, -1.6317584023380418)","(1.4708333333333332, 36.954, 0.349, 0.9444173837744223)","(4.464583333333334, 36.954, -0.333, -0.9011203117389186)","(7.464583333333334, 36.954, -5.174, -14.001190669480975)","(28.272916666666664, 36.954, -35.103, -94.99106997889267)",,
sub075,"(0.125, 17.48, 0.0, 0.0)","(0.5694444444444444, 17.48, -0.031, -0.17734553775743708)","(3.6006944444444446, 17.48, 0.822, 4.702517162471396)","(8.692361111111111, 17.48, -3.573, -20.44050343249428)","(38.64930555555556, 17.48, -16.372, -93.66132723112128)",,,
sub076,"(0.0625, 16.4, 0.0, 0.0)","(0.6666666666666666, 16.4, 10.079, 61.457317073170735)","(2.6618055555555555, 16.4, 8.72, 53.170731707317074)","(8.614583333333334, 16.4, 1.891, 11.53048780487805)","(15.93888888888889, 16.4, -12.433, -75.8109756097561)",,,
sub077,"(0.08333333333333333, 87.595, 0.0, 0.0)","(0.5881944444444445, 87.595, 36.62, 41.80603915748616)","(4.876388888888889, 87.595, 8.369, 9.554198298989668)","(6.904861111111111, 87.595, -4.367, -4.98544437467892)","(25.891666666666666, 87.595, -71.152, -81.22838061533193)",,,
sub078,"(0.20833333333333334, 2.481, 0.0, 0.0)","(1.301388888888889, 2.481, -0.683, -27.529222087867794)","(8.346527777777778, 2.481, -0.865, -34.86497380088674)",,,,,
sub079,"(0.041666666666666664, 6.543, 0.0, 0.0)","(1.1604166666666667, 6.543, 6.151, 94.00886443527435)","(9.112499999999999, 6.543, 1.437, 21.96240256762953)","(13.399305555555555, 6.543, -5.464, -83.50909368791073)","(48.13333333333333, 6.543, -6.543, -100.0)",,,
sub080,"(0.16666666666666666, 66.355, 0.0, 0.0)","(0.8569444444444444, 66.355, 8.486, 12.788787581945597)","(11.515277777777778, 66.355, -46.277, -69.74154170748248)",,,,,
sub081,"(0.125, 41.688, 0.0, 0.0)","(1.1430555555555555, 41.688, 15.298, 36.69641143734408)","(5.375694444444444, 41.688, 11.097, 26.61917098445596)","(13.330555555555556, 41.688, -22.551, -54.09470351180195)","(179.48263888888889, 41.688, 177.694, 426.2473613509883)",,,
sub082,"(0.041666666666666664, 46.32, 0.0, 0.0)","(0.9951388888888889, 46.32, -4.401, -9.501295336787564)","(7.940972222222222, 46.32, -20.789, -44.881260794473235)",,,,,
sub083,"(0.4166666666666667, 23.493, 0.0, 0.0)","(1.5145833333333334, 23.493, -1.464, -6.231643468267143)","(5.290972222222222, 23.493, -3.025, -12.876175882177671)",,,,,
sub084,"(0.0625, 25.871, 0.0, 0.0)","(0.5597222222222222, 25.871, 1.551, 5.99512968188319)","(1.5722222222222222, 25.871, -0.243, -0.9392756368134204)","(3.559027777777778, 25.871, -1.179, -4.557226237872522)","(7.553472222222222, 25.871, -12.181, -47.08360712767191)",,,
sub085,"(0.041666666666666664, 74.106, 0.0, 0.0)","(0.09166666666666667, 74.106, -9.102, -12.282406282892074)","(0.6506944444444445, 74.106, 5.268, 7.108736134725933)","(4.824305555555555, 74.106, -21.675, -29.248643834507327)","(8.63888888888889, 74.106, -36.589, -49.373869862089435)","(13.802083333333334, 74.106, -55.83, -75.33802930936766)",,
sub086,"(0.125, 11.027, 0.0, 0.0)","(0.7666666666666666, 11.027, -1.46, -13.240228529971887)","(7.4743055555555555, 11.027, -3.397, -30.806202956379796)","(14.511805555555556, 11.027, -11.027, -100.0)",,,,
sub087,"(0.0625, 31.627, 0.0, 0.0)","(0.6895833333333333, 31.627, 2.543, 8.040598223037279)","(11.685416666666667, 31.627, -4.522, -14.297910013595978)","(18.677777777777777, 31.627, -13.579, -42.93483416068549)","(114.69305555555555, 31.627, -31.627, -100.0)",,,
sub088,"(0.4166666666666667, 9.913, 0.0, 0.0)","(1.4479166666666667, 9.913, 1.616, 16.30182588520125)","(4.7124999999999995, 9.913, 5.832, 58.83183698174115)",,,,,
sub089,"(0.0625, 17.293, 0.0, 0.0)","(0.8916666666666666, 17.293, 0.008, 0.04626149308968947)","(11.827777777777778, 17.293, -14.901, -86.16781356618284)","(22.587500000000002, 17.293, -17.293, -100.0)",,,,
sub090,"(0.08333333333333333, 74.353, 0.0, 0.0)","(0.5493055555555556, 74.353, -4.857, -6.53235242693637)","(6.593055555555555, 74.353, -49.393, -66.4304063050583)","(9.5875, 74.353, -60.363, -81.18435032883676)",,,,
sub091,"(0.125, 11.929, 0.0, 0.0)","(1.0868055555555556, 11.929, 1.376, 11.534914913236651)","(6.04375, 11.929, 1.752, 14.686897476737363)","(20.05902777777778, 11.929, -11.929, -100.0)",,,,
sub092,"(0.08333333333333333, 15.928, 0.0, 0.0)","(0.49722222222222223, 15.928, 48.691, 305.6943746860874)","(3.2826388888888887, 15.928, 123.012, 772.3003515821196)","(7.232638888888889, 15.928, 82.177, 515.9279256654947)",,,,
sub093,"(0.020833333333333332, 17.823, 0.0, 0.0)","(0.14930555555555555, 17.823, -0.464, -2.603377658082253)","(1.0618055555555557, 17.823, -1.757, -9.858048588901982)","(2.055555555555556, 17.823, -3.417, -19.171856589799695)","(11.298611111111112, 17.823, -9.593, -53.82371093530831)",,,
sub094,"(0.20833333333333334, 40.501, 0.0, 0.0)","(1.2048611111111112, 40.501, -11.257, -27.794375447519815)","(4.202083333333333, 40.501, -22.08, -54.51717241549592)","(10.991666666666667, 40.501, -34.564, -85.3411026888225)","(180.2923611111111, 40.501, -40.501, -100.0)",,,
sub095,"(0.041666666666666664, 18.252, 0.0, 0.0)","(0.30972222222222223, 18.252, 17.507, 95.91825553364015)","(3.9222222222222225, 18.252, 16.752, 91.78172255095332)","(12.947916666666666, 18.252, -4.763, -26.095770326539558)","(23.17222222222222, 18.252, -18.252, -100.0)",,,
sub096,"(0.041666666666666664, 9.114, 0.0, 0.0)","(0.5736111111111112, 9.114, -0.084, -0.9216589861751152)","(3.6659722222222224, 9.114, -0.483, -5.299539170506913)","(10.629861111111111, 9.114, -2.541, -27.880184331797235)","(17.645833333333332, 9.114, -8.622, -94.6017116524029)","(24.818749999999998, 9.114, -8.548, -93.78977397410577)",,
sub097,"(0.125, 10.806, 0.0, 0.0)","(1.3298611111111112, 10.806, 1.711, 15.83379603923746)","(7.141666666666667, 10.806, -0.877, -8.115861558393485)",,,,,
sub098,"(0.10416666666666667, 188.134, 0.0, 0.0)","(1.78125, 188.134, 26.495, 14.083047189768994)","(7.8187500000000005, 188.134, -10.097, -5.366919323460937)","(23.770833333333332, 188.134, -77.027, -40.942626000616585)","(37.640277777777776, 188.134, -112.256, -59.6681089011024)",,,
sub099,"(0.125, 37.309, 0.0, 0.0)","(0.736111111111111, 37.309, 20.84, 55.85783591090622)","(1.7715277777777778, 37.309, 15.041, 40.31466938272267)",,,,,
sub100,"(0.020833333333333332, 14.659, 0.0, 0.0)","(1.4472222222222222, 14.659, 1.517, 10.34859130909339)","(8.218055555555555, 14.659, -7.2, -49.11658366873593)",,,,,
sub101,"(0.08333333333333333, 33.529, 0.0, 0.0)",,,,,,,
sub102,"(0.0625, 13.232, 0.0, 0.0)",,,,,,,
sub103,"(0.020833333333333332, 4.107, 0.0, 0.0)",,,,,,,
sub104,"(0.16666666666666666, 44.969, 0.0, 0.0)",,,,,,,
sub105,"(0.041666666666666664, 4.193, 0.0, 0.0)",,,,,,,
sub106,"(0.041666666666666664, 100.192, 0.0, 0.0)",,,,,,,
sub107,"(0.041666666666666664, 54.02, 0.0, 0.0)",,,,,,,
sub108,"(0.22916666666666666, 11.255, 0.0, 0.0)",,,,,,,
sub109,"(0.041666666666666664, 4.481, 0.0, 0.0)",,,,,,,
sub110,"(0.020833333333333332, 20.459, 0.0, 0.0)",,,,,,,
sub111,"(0.020833333333333332, 119.55, 0.0, 0.0)",,,,,,,
sub112,"(0.08333333333333333, 43.651, 0.0, 0.0)",,,,,,,
sub113,"(0.4583333333333333, 36.94, 0.0, 0.0)",,,,,,,
sub114,"(0.3333333333333333, 75.971, 0.0, 0.0)",,,,,,,
