id,first,follow_1,follow_2,follow_3,follow_4,follow_5,follow_6,follow_7
sub014,"(0.041666666666666664, 12.291, 0.0, 0.0)","(0.975, 12.291, 7.143, 58.11569441054431)","(9.966666666666667, 12.291, 18.801, 152.96558457407858)",,,,,
sub015,"(0.20833333333333334, 5.759, 0.0, 0.0)","(7.015277777777778, 5.759, 11.446, 198.74978294842856)","(13.977083333333333, 5.759, 90.743, 1575.6728598715056)","(26.690972222222225, 5.759, 49.553, 860.4445216183365)",,,,
sub016,"(0.041666666666666664, 28.955, 0.0, 0.0)","(0.5555555555555556, 28.955, 7.312, 25.25297876014505)","(5.3062499999999995, 28.955, 65.687, 226.85891901226037)",,,,,
sub017,"(0.08333333333333333, 11.533, 0.0, 0.0)","(0.6194444444444445, 11.533, 10.542, 91.40726610595682)","(7.575694444444444, 11.533, 32.903, 285.29437266973036)","(19.821527777777778, 11.533, 23.32, 202.20237579120783)",,,,
sub018,"(0.020833333333333332, 23.89, 0.0, 0.0)","(0.6493055555555556, 23.89, 14.464, 60.54416073670992)","(1.6013888888888888, 23.89, 21.497, 89.98325659271661)","(9.835416666666667, 23.89, 40.194, 168.24612808706573)",,,,
sub019,"(0.375, 11.107, 0.0, 0.0)","(0.7631944444444444, 11.107, 5.487, 49.40127847303502)","(1.7763888888888888, 11.107, 7.542, 67.9031241559377)","(12.370833333333332, 11.107, 16.638, 149.7974250472675)","(33.578472222222224, 11.107, -9.558, -86.05383992077068)","(74.34861111111111, 11.107, -11.107, -100.0)",,
sub020,"(0.02791666666666667, 0.16, 0.0, 0.0)","(0.25430555555555556, 0.16, 0.367, 229.37500000000003)","(1.5133333333333334, 0.16, 0.073, 45.625)","(30.36333333333333, 0.16, -0.16, -100.0)","(69.51402777777778, 0.16, -0.16, -100.0)",,,
sub021,"(0.041666666666666664, 12.852, 0.0, 0.0)","(1.2201388888888889, 12.852, 6.17, 48.00809212573918)","(3.957638888888889, 12.852, 5.842, 45.45596016184251)","(13.198611111111111, 12.852, 6.898, 53.67258014316838)",,,,
sub022,"(0.041666666666666664, 5.463, 0.0, 0.0)","(0.8944444444444444, 5.463, 3.244, 59.38129233022149)","(13.89861111111111, 5.463, 3.357, 61.44975288303131)",,,,,
sub023,"(0.08333333333333333, 42.734, 0.0, 0.0)","(1.1736111111111112, 42.734, 1.965, 4.598212196377592)","(9.209722222222222, 42.734, -0.926, -2.1668928721860814)","(15.156944444444443, 42.734, -2.725, -6.376655590396406)","(21.12361111111111, 42.734, -12.537, -29.33729583001825)","(27.343055555555555, 42.734, -38.866, -90.9486591472832)","(58.223611111111104, 42.734, -42.357, -99.11779847428276)",
sub024,"(0.20833333333333334, 9.317, 0.0, 0.0)","(1.2236111111111112, 9.317, -2.021, -21.69153160888698)","(12.384722222222223, 9.317, -8.193, -87.93603091123752)","(19.179861111111112, 9.317, -9.317, -100.0)",,,,
sub025,"(0.2916666666666667, 9.073, 0.0, 0.0)","(1.007638888888889, 9.073, 8.327, 91.77780227047283)","(2.8111111111111113, 9.073, 18.447, 203.31753554502367)",,,,,
sub026,"(0.041666666666666664, 21.095, 0.0, 0.0)","(0.9402777777777778, 21.095, -1.207, -5.721735008295805)","(3.1680555555555556, 21.095, 23.077, 109.39559137236313)","(19.134027777777778, 21.095, 36.19, 171.55724105238207)",,,,
sub027,"(0.125, 7.286, 0.0, 0.0)","(1.2673611111111112, 7.286, 33.689, 462.3799066703267)","(7.403472222222223, 7.286, 16.56, 227.28520450178428)","(10.418055555555556, 7.286, 11.103, 152.38814164150426)",,,,
sub028,"(0.08333333333333333, 16.568, 0.0, 0.0)","(0.7236111111111111, 16.568, 10.32, 62.288749396426844)","(5.954861111111111, 16.568, 28.877, 174.2938194109126)","(16.961111111111112, 16.568, 66.035, 398.56953162723323)","(56.049305555555556, 16.568, -15.091, -91.08522452921294)",,,
sub029,"(0.3333333333333333, 44.907, 0.0, 0.0)","(1.4986111111111111, 44.907, 17.108, 38.096510566281424)","(14.551388888888889, 44.907, -1.09, -2.4272385151535394)","(44.515277777777776, 44.907, -38.512, -85.75945843632395)",,,,
sub030,"(0.3333333333333333, 18.378, 0.0, 0.0)","(1.3763888888888889, 18.378, 22.482, 122.33104799216454)","(5.414583333333333, 18.378, 85.917, 467.4991838067254)","(12.415277777777776, 18.378, 60.826, 330.97181412558496)","(19.38611111111111, 18.378, 76.196, 414.6044183262597)",,,
sub031,"(0.020833333333333332, 17.339, 0.0, 0.0)","(0.17361111111111108, 17.339, 18.307, 105.58279024165176)","(0.4986111111111111, 17.339, 27.053, 156.0239921564104)",,,,,
sub032,"(0.0625, 0.746, 0.0, 0.0)","(1.4291666666666665, 0.746, 5.494, 736.461126005362)","(7.161111111111111, 0.746, -0.306, -41.01876675603217)",,,,,
sub033,"(0.25, 1.5, 0.0, 0.0)","(1.2833333333333334, 1.5, 5.206, 347.06666666666666)","(2.8409722222222222, 1.5, 21.07, 1404.6666666666667)","(5.108333333333333, 1.5, 18.885, 1259.0)","(18.855555555555558, 1.5, 1.003, 66.86666666666666)","(35.231249999999996, 1.5, -1.5, -100.0)",,
sub034,"(0.020833333333333332, 10.958, 0.0, 0.0)","(0.22777777777777777, 10.958, 22.491, 205.24730790290198)","(3.9819444444444443, 10.958, 68.433, 624.5026464683336)","(14.997916666666667, 10.958, 66.749, 609.1348786274867)",,,,
sub035,"(0.125, 15.345, 0.0, 0.0)","(0.8694444444444445, 15.345, 6.288, 40.977517106549364)","(4.615972222222222, 15.345, 6.983, 45.506679700228084)","(10.609027777777778, 15.345, -2.61, -17.008797653958943)","(16.62013888888889, 15.345, -0.939, -6.119257086999022)","(24.644444444444446, 15.345, -10.913, -71.11762789182144)",,
sub036,"(0.125, 16.707, 0.0, 0.0)","(1.6458333333333333, 16.707, 18.409, 110.18734662117676)","(3.6576388888888887, 16.707, -11.715, -70.12030885257676)","(9.566666666666666, 16.707, 10.106, 60.48961513138206)","(15.6625, 16.707, 2.538, 15.191237205961572)",,,
sub037,"(0.08333333333333333, 19.961, 0.0, 0.0)","(0.6486111111111111, 19.961, 20.131, 100.85166073843996)","(6.486805555555556, 19.961, 46.098, 230.9403336506187)","(22.492361111111112, 19.961, 31.794, 159.28059716447072)","(43.64930555555555, 19.961, -9.961, -49.90230950353189)",,,
sub038,"(0.041666666666666664, 4.386, 0.0, 0.0)","(0.6590277777777778, 4.386, 6.324, 144.1860465116279)","(5.649305555555556, 4.386, 26.251, 598.5180118559051)","(12.645833333333334, 4.386, 29.3, 668.0346557227542)","(21.68472222222222, 4.386, 24.476, 558.0483356133151)",,,
sub039,"(0.08333333333333333, 16.139, 0.0, 0.0)","(1.2159722222222222, 16.139, 11.873, 73.56713551025467)","(1.7708333333333333, 16.139, 29.604, 183.43143937046904)","(5.677777777777778, 16.139, 46.904, 290.6251936303364)","(11.875694444444443, 16.139, 111.396, 690.2286387012826)","(19.71388888888889, 16.139, 99.622, 617.2749240969081)","(40.62916666666667, 16.139, -7.832, -48.52840944296425)",
sub040,"(0.041666666666666664, 4.401, 0.0, 0.0)","(0.48680555555555555, 4.401, 11.831, 268.8252669847762)","(2.504861111111111, 4.401, 30.141, 684.8670756646217)","(8.504166666666666, 4.401, 35.425, 804.9306975687343)","(14.484027777777778, 4.401, 93.067, 2114.6784821631445)","(27.503472222222225, 4.401, 46.632, 1059.5773687798228)",,
sub041,"(0.041666666666666664, 5.169, 0.0, 0.0)","(0.24722222222222223, 5.169, 0.912, 17.643644805571675)","(4.990277777777778, 5.169, 14.278, 276.22364093635133)","(23.829166666666666, 5.169, -2.434, -47.088411685045465)",,,,
sub042,"(0.08333333333333333, 12.949, 0.0, 0.0)","(1.0805555555555555, 12.949, 7.183, 55.47146497799058)","(13.105555555555556, 12.949, -9.205, -71.08657039153603)","(32.105555555555554, 12.949, -12.324, -95.17337246119392)",,,,
sub043,"(0.375, 20.931, 0.0, 0.0)","(1.395138888888889, 20.931, 7.854, 37.523290812670204)","(2.420138888888889, 20.931, 2.386, 11.399359801251732)","(7.441666666666666, 20.931, 0.394, 1.8823754240122306)",,,,
sub044,"(0.25, 26.14, 0.0, 0.0)","(1.3, 26.14, 13.493, 51.61820964039786)","(2.3006944444444444, 26.14, 32.638, 124.85845447589901)","(8.368055555555555, 26.14, 55.53, 212.4330527926549)","(22.335416666666664, 26.14, 32.021, 122.49808722264729)","(155.38819444444445, 26.14, -26.083, -99.78194338179036)",,
sub045,"(0.08333333333333333, 6.48, 0.0, 0.0)","(0.6326388888888889, 6.48, 3.061, 47.23765432098765)","(11.588888888888889, 6.48, 31.7, 489.1975308641976)","(16.568055555555556, 6.48, 28.145, 434.3364197530864)",,,,
sub046,"(0.041666666666666664, 37.663, 0.0, 0.0)","(6.1506944444444445, 37.663, 12.989, 34.48742797971484)","(20.205555555555556, 37.663, 2.935, 7.79279398879537)",,,,,
sub047,"(0.08333333333333333, 5.848, 0.0, 0.0)","(0.8673611111111111, 5.848, 3.302, 56.46374829001368)","(4.045833333333333, 5.848, 12.403, 212.08960328317374)","(39.83402777777778, 5.848, -5.215, -89.17578659370726)",,,,
sub048,"(0.041666666666666664, 4.473, 0.0, 0.0)","(0.5361111111111111, 4.473, 26.279, 587.5027945450481)","(2.665277777777778, 4.473, 38.901, 869.6847753185782)","(9.654861111111112, 4.473, 65.219, 1458.0594679186229)",,,,
sub049,"(0.4166666666666667, 3.955, 0.0, 0.0)","(1.1083333333333334, 3.955, 0.069, 1.7446270543615676)","(5.226388888888889, 3.955, -1.009, -25.512010113780025)","(11.122916666666667, 3.955, -3.766, -95.2212389380531)",,,,
sub050,"(0.3958333333333333, 8.814, 0.0, 0.0)","(2.0458333333333334, 8.814, 3.71, 42.092126162922625)","(12.138194444444444, 8.814, 11.227, 127.37690038574993)",,,,,
sub051,"(0.20833333333333334, 16.801, 0.0, 0.0)","(1.8131944444444443, 16.801, 11.069, 65.88298315576453)","(15.817361111111111, 16.801, -3.663, -21.80227367418606)","(22.803472222222222, 16.801, -10.401, -61.90702934349146)","(51.95972222222222, 16.801, -16.801, -100.0)",,,
sub052,"(0.16666666666666666, 7.036, 0.0, 0.0)","(2.0375, 7.036, 38.23, 543.3484934621945)","(12.046527777777778, 7.036, 72.925, 1036.4553723706651)","(25.180555555555557, 7.036, 63.707, 905.443433769187)","(73.95694444444445, 7.036, -7.036, -100.0)","(188.97152777777777, 7.036, -7.036, -100.0)",,
sub053,"(0.08333333333333333, 16.764, 0.0, 0.0)","(1.2416666666666667, 16.764, 5.772, 34.430923407301364)","(11.059027777777779, 16.764, 35.337, 210.79098067287046)","(32.28958333333333, 16.764, -6.424, -38.320209973753286)",,,,
sub054,"(0.041666666666666664, 12.628, 0.0, 0.0)","(0.6756944444444445, 12.628, 3.405, 26.963889768767817)","(7.856944444444444, 12.628, 12.016, 95.15362686094393)","(16.69861111111111, 12.628, 13.378, 105.93918276845106)",,,,
sub055,"(0.041666666666666664, 15.417, 0.0, 0.0)","(1.6638888888888888, 15.417, 22.48, 145.8130635013297)","(5.822916666666667, 15.417, 31.778, 206.12311085165723)",,,,,
sub056,"(0.0625, 29.701, 0.0, 0.0)","(0.3763888888888889, 29.701, 2.759, 9.289249520218174)","(1.0638888888888889, 29.701, 4.316, 14.531497255984647)","(2.1868055555555554, 29.701, -1.536, -5.171543045688697)","(4.115277777777778, 29.701, -7.847, -26.419985859061985)","(6.084027777777778, 29.701, -3.989, -13.430524224773578)","(10.115972222222222, 29.701, -26.197, -88.20241742702267)","(12.081944444444444, 29.701, -29.045, -97.79132015757045)"
sub057,"(0.010416666666666666, 8.044, 0.0, 0.0)","(0.6090277777777778, 8.044, 0.408, 5.072103431128792)","(12.80486111111111, 8.044, 1.33, 16.534062655395328)",,,,,
sub058,"(0.4166666666666667, 11.479, 0.0, 0.0)","(0.9027777777777777, 11.479, 7.41, 64.55266138165345)","(2.5326388888888887, 11.479, 5.505, 47.95713912361704)",,,,,
sub059,"(0.041666666666666664, 1.396, 0.0, 0.0)","(1.9215277777777777, 1.396, 1.83, 131.0888252148997)","(9.921527777777778, 1.396, 0.092, 6.59025787965616)",,,,,
sub060,"(0.020833333333333332, 33.604, 0.0, 0.0)","(0.9888888888888889, 33.604, 11.295, 33.61206999166766)","(2.0430555555555556, 33.604, 7.03, 20.920128556124272)","(4.0125, 33.604, 6.274, 18.67039638138317)","(4.954166666666667, 33.604, 3.512, 10.45113676943221)","(5.309722222222223, 33.604, 6.317, 18.798357338412096)","(10.004861111111111, 33.604, -0.517, -1.5385073205570765)","(12.267361111111112, 33.604, -11.512, -34.25782644923223)"
sub061,"(0.020833333333333332, 15.164, 0.0, 0.0)","(0.2722222222222222, 15.164, 5.918, 39.026642046953306)","(1.082638888888889, 15.164, 38.76, 255.60538116591925)","(2.994444444444444, 15.164, 54.634, 360.28752308098126)","(7.9944444444444445, 15.164, 74.108, 488.71010287523086)","(15.983333333333334, 15.164, 99.842, 658.4146663149565)",,
sub062,"(0.125, 10.197, 0.0, 0.0)","(0.7618055555555555, 10.197, 2.846, 27.910169657742472)","(7.53125, 10.197, 11.773, 115.45552613513779)",,,,,
sub063,"(0.4166666666666667, 7.625, 0.0, 0.0)","(1.1569444444444443, 7.625, 1.509, 19.790163934426232)","(2.370138888888889, 7.625, 13.338, 174.92459016393443)","(6.178472222222222, 7.625, 46.724, 612.7737704918034)","(11.316666666666668, 7.625, 54.312, 712.288524590164)","(18.086805555555554, 7.625, 41.795, 548.1311475409835)","(40.34791666666667, 7.625, 109.905, 1441.377049180328)","(40.75069444444444, 7.625, 39.598, 519.3180327868853)"
sub064,"(0.041666666666666664, 7.239, 0.0, 0.0)","(0.3354166666666667, 7.239, -3.224, -44.53653819588341)","(2.2868055555555555, 7.239, -6.07, -83.85136068517751)","(13.000694444444443, 7.239, -5.503, -76.01878712529356)","(25.99791666666667, 7.239, -7.207, -99.55794999309296)","(40.02708333333333, 7.239, -7.239, -100.0)",,
sub065,"(0.08333333333333333, 45.074, 0.0, 0.0)","(0.7381944444444445, 45.074, -6.6, -14.642587744597774)","(4.954166666666667, 45.074, 2.01, 4.459333540400231)","(22.001388888888886, 45.074, 5.156, 11.438967031991835)",,,,
sub066,"(0.3333333333333333, 20.309, 0.0, 0.0)","(0.5173611111111112, 20.309, 19.367, 95.36166231719928)","(2.078472222222222, 20.309, 13.867, 68.28007287409523)","(5.129166666666666, 20.309, 5.113, 25.17603033138018)","(10.297916666666667, 20.309, -8.514, -41.92230045792506)",,,
sub067,"(0.16666666666666666, 4.242, 0.0, 0.0)","(1.179861111111111, 4.242, 0.823, 19.4012258368694)","(5.313888888888889, 4.242, 7.318, 172.51296558227253)",,,,,
sub068,"(0.08333333333333333, 14.681, 0.0, 0.0)","(1.2513888888888889, 14.681, 8.088, 55.09161501260132)","(6.190277777777777, 14.681, 36.222, 246.72706218922417)","(18.2, 14.681, 41.863, 285.1508752809754)","(22.011805555555554, 14.681, 41.235, 280.8732375178803)","(76.1138888888889, 14.681, -14.519, -98.89653293372386)","(110.08333333333333, 14.681, -14.23, -96.92800217968804)","(200.0513888888889, 14.681, -14.681, -100.0)"
sub069,"(0.08333333333333333, 41.37, 0.0, 0.0)","(1.8868055555555554, 41.37, 3.394, 8.204012569494804)","(8.17361111111111, 41.37, -11.357, -27.452260091854004)","(14.145833333333334, 41.37, -20.47, -49.48029973410684)","(21.87222222222222, 41.37, -29.851, -72.15615180082186)",,,
sub070,"(0.125, 8.178, 0.0, 0.0)","(0.40208333333333335, 8.178, 2.196, 26.852531181217902)","(12.414583333333333, 8.178, 6.979, 85.33871362191245)",,,,,
sub071,"(0.08333333333333333, 27.83, 0.0, 0.0)","(0.6777777777777777, 27.83, 5.716, 20.53898670499461)","(1.872222222222222, 27.83, -20.292, -72.91412145167085)","(8.674305555555556, 27.83, 38.259, 137.47394897592525)","(10.708333333333334, 27.83, 42.688, 153.38842975206612)","(38.6875, 27.83, -27.343, -98.2500898311175)",,
sub072,"(0.08333333333333333, 10.39, 0.0, 0.0)","(0.81875, 10.39, 8.184, 78.76804619826756)","(7.760416666666667, 10.39, 6.12, 58.902791145332046)",,,,,
sub073,"(0.08333333333333333, 3.974, 0.0, 0.0)","(1.1166666666666667, 3.974, 2.778, 69.90437845998994)","(6.09375, 3.974, 3.155, 79.39104177151485)",,,,,
sub074,"(0.0625, 29.318, 0.0, 0.0)","(0.47291666666666665, 29.318, 11.467, 39.11249062009687)","(1.4708333333333332, 29.318, 25.696, 87.64581485776655)","(4.464583333333334, 29.318, 48.105, 164.08008731837097)","(7.464583333333334, 29.318, 65.394, 223.05068558564702)","(28.272916666666664, 29.318, 38.462, 131.1890306296473)",,
sub075,"(0.125, 17.633, 0.0, 0.0)","(0.5694444444444444, 17.633, -4.336, -24.590256904667385)","(3.6006944444444446, 17.633, 24.405, 138.40526285941132)","(8.692361111111111, 17.633, 16.677, 94.57834741677537)","(38.64930555555556, 17.633, -6.431, -36.471388873135595)",,,
sub076,"(0.0625, 10.154, 0.0, 0.0)","(0.6666666666666666, 10.154, 1.95, 19.204254480992713)","(2.6618055555555555, 10.154, 1.427, 14.053574945834155)","(8.614583333333334, 10.154, 4.609, 45.39097892456175)","(15.93888888888889, 10.154, -3.093, -30.460902107543824)",,,
sub077,"(0.08333333333333333, 9.003, 0.0, 0.0)","(0.5881944444444445, 9.003, 22.615, 251.19404642896814)","(4.876388888888889, 9.003, 18.784, 208.64156392313674)","(6.904861111111111, 9.003, 36.268, 402.8434966122403)","(25.891666666666666, 9.003, 29.412, 326.6911029656781)",,,
sub078,"(0.20833333333333334, 2.679, 0.0, 0.0)","(1.301388888888889, 2.679, -2.127, -79.3952967525196)","(8.346527777777778, 2.679, -0.301, -11.235535647629714)",,,,,
sub079,"(0.041666666666666664, 7.317, 0.0, 0.0)","(1.1604166666666667, 7.317, -0.792, -10.824108241082412)","(9.112499999999999, 7.317, 2.437, 33.305999726663934)","(13.399305555555555, 7.317, -5.523, -75.48175481754818)","(48.13333333333333, 7.317, -7.264, -99.2756594232609)",,,
sub080,"(0.16666666666666666, 12.087, 0.0, 0.0)","(0.8569444444444444, 12.087, 1.684, 13.932323984446098)","(11.515277777777778, 12.087, -6.277, -51.93182758335402)",,,,,
sub081,"(0.125, 1.091, 0.0, 0.0)","(1.1430555555555555, 1.091, 9.983, 915.0320806599449)","(5.375694444444444, 1.091, 13.942, 1277.910174152154)","(13.330555555555556, 1.091, 7.084, 649.3125572868928)","(179.48263888888889, 1.091, 71.156, 6522.0898258478455)",,,
sub082,"(0.041666666666666664, 33.837, 0.0, 0.0)","(0.9951388888888889, 33.837, -5.493, -16.233708662115436)","(7.940972222222222, 33.837, -3.399, -10.04521677453675)",,,,,
sub083,"(0.4166666666666667, 23.326, 0.0, 0.0)","(1.5145833333333334, 23.326, 16.23, 69.57901054617165)","(5.290972222222222, 23.326, 24.254, 103.97839320929434)",,,,,
sub084,"(0.0625, 3.216, 0.0, 0.0)","(0.5597222222222222, 3.216, 8.155, 253.57587064676616)","(1.5722222222222222, 3.216, 18.028, 560.5721393034826)","(3.559027777777778, 3.216, 26.864, 835.323383084577)","(7.553472222222222, 3.216, 36.161, 1124.4092039800994)",,,
sub085,"(0.041666666666666664, 53.627, 0.0, 0.0)","(0.09166666666666667, 53.627, -6.639, -12.37995785704962)","(0.6506944444444445, 53.627, 4.731, 8.8220485949242)","(4.824305555555555, 53.627, -0.554, -1.033061703992392)","(8.63888888888889, 53.627, -35.008, -65.28054897719431)","(13.802083333333334, 53.627, -38.199, -71.23090980289778)",,
sub086,"(0.125, 3.327, 0.0, 0.0)","(0.7666666666666666, 3.327, -2.173, -65.31409678388938)","(7.4743055555555555, 3.327, 2.749, 82.62699128343853)","(14.511805555555556, 3.327, -0.837, -25.15779981965735)",,,,
sub087,"(0.0625, 0.398, 0.0, 0.0)","(0.6895833333333333, 0.398, 1.378, 346.23115577889445)","(11.685416666666667, 0.398, 3.656, 918.5929648241206)","(18.677777777777777, 0.398, 4.205, 1056.532663316583)","(114.69305555555555, 0.398, -0.398, -100.0)",,,
sub088,"(0.4166666666666667, 23.528, 0.0, 0.0)","(1.4479166666666667, 23.528, -10.477, -44.52992179530772)","(4.7124999999999995, 23.528, 5.812, 24.702482148928937)",,,,,
sub089,"(0.0625, 9.695, 0.0, 0.0)","(0.8916666666666666, 9.695, 8.055, 83.08406395048993)","(11.827777777777778, 9.695, 58.281, 601.1449200618875)","(22.587500000000002, 9.695, 12.102, 124.82723053120166)",,,,
sub090,"(0.08333333333333333, 29.614, 0.0, 0.0)","(0.5493055555555556, 29.614, 46.708, 157.72269872357668)","(6.593055555555555, 29.614, -13.236, -44.695076652934425)","(9.5875, 29.614, -24.827, -83.8353481461471)",,,,
sub091,"(0.125, 5.318, 0.0, 0.0)","(1.0868055555555556, 5.318, 6.164, 115.90823617901466)","(6.04375, 5.318, 6.423, 120.77848815344115)","(20.05902777777778, 5.318, 5.657, 106.37457690861226)",,,,
sub092,"(0.08333333333333333, 1.084, 0.0, 0.0)","(0.49722222222222223, 1.084, -0.373, -34.40959409594096)","(3.2826388888888887, 1.084, 37.148, 3426.9372693726937)","(7.232638888888889, 1.084, 51.304, 4732.841328413284)",,,,
sub093,"(0.020833333333333332, 4.923, 0.0, 0.0)","(0.14930555555555555, 4.923, -0.98, -19.90656104001625)","(1.0618055555555557, 4.923, 2.051, 41.66158846231973)","(2.055555555555556, 4.923, 4.432, 90.0264066626041)","(11.298611111111112, 4.923, -1.665, -33.820840950639855)",,,
sub094,"(0.20833333333333334, 7.667, 0.0, 0.0)","(1.2048611111111112, 7.667, 7.997, 104.3041606886657)","(4.202083333333333, 7.667, 10.497, 136.9114386331029)","(10.991666666666667, 7.667, 1.026, 13.382026868397027)","(180.2923611111111, 7.667, -7.667, -100.0)",,,
sub095,"(0.041666666666666664, 13.198, 0.0, 0.0)","(0.30972222222222223, 13.198, 69.65, 527.7314744658281)","(3.9222222222222225, 13.198, 85.933, 651.1062282163964)","(12.947916666666666, 13.198, 154.94, 1173.9657523867254)","(23.17222222222222, 13.198, 112.049, 848.9846946507047)",,,
sub096,"(0.041666666666666664, 5.951, 0.0, 0.0)","(0.5736111111111112, 5.951, 0.143, 2.4029574861367835)","(3.6659722222222224, 5.951, 3.96, 66.54343807763401)","(10.629861111111111, 5.951, 5.736, 96.3871618215426)","(17.645833333333332, 5.951, -5.72, -96.11829944547135)","(24.818749999999998, 5.951, -5.951, -100.0)",,
sub097,"(0.125, 10.227, 0.0, 0.0)","(1.3298611111111112, 10.227, -1.592, -15.566637332551089)","(7.141666666666667, 10.227, -8.911, -87.13210130047912)",,,,,
sub098,"(0.10416666666666667, 39.868, 0.0, 0.0)","(1.78125, 39.868, -10.861, -27.242399919735128)","(7.8187500000000005, 39.868, -13.442, -33.71626367011137)","(23.770833333333332, 39.868, 0.798, 2.0016052974816896)","(37.640277777777776, 39.868, -22.58, -56.63690177586034)",,,
sub099,"(0.125, 9.653, 0.0, 0.0)","(0.736111111111111, 9.653, 9.864, 102.18584895887288)","(1.7715277777777778, 9.653, 21.28, 220.44960116026107)",,,,,
sub100,"(0.020833333333333332, 7.367, 0.0, 0.0)","(1.4472222222222222, 7.367, -1.334, -18.107777928600516)","(8.218055555555555, 7.367, -4.176, -56.68521786344509)",,,,,
sub101,"(0.08333333333333333, 9.7, 0.0, 0.0)",,,,,,,
sub102,"(0.0625, 2.042, 0.0, 0.0)",,,,,,,
sub103,"(0.020833333333333332, 1.295, 0.0, 0.0)",,,,,,,
sub104,"(0.16666666666666666, 35.063, 0.0, 0.0)",,,,,,,
sub105,"(0.041666666666666664, 0.675, 0.0, 0.0)",,,,,,,
sub106,"(0.041666666666666664, 16.63, 0.0, 0.0)",,,,,,,
sub107,"(0.041666666666666664, 31.475, 0.0, 0.0)",,,,,,,
sub108,"(0.22916666666666666, 7.907, 0.0, 0.0)",,,,,,,
sub109,"(0.041666666666666664, 0.556, 0.0, 0.0)",,,,,,,
sub110,"(0.020833333333333332, 6.092, 0.0, 0.0)",,,,,,,
sub111,"(0.020833333333333332, 49.965, 0.0, 0.0)",,,,,,,
sub112,"(0.08333333333333333, 30.776, 0.0, 0.0)",,,,,,,
